season,episode,scene,character,dialogue
5,21,1,Ted (2030)," Children, your Aunt Robin was dating Don until recently, but one evening, coming from nowhere..."
5,21,1,Don, You want to install?
5,21,1,Robin," Well... it's a bit early... but... of course, I might consider... I moved here, let me think."
5,21,1,Don," I mean, you can install yourself beyond me to sit?"
5,21,1,Robin," Yeah, that's what I was talking about me too. As I said, let me think. I agree."
5,21,1,Don, But... now that you've mentioned... you wanna install?
5,21,2,Lily, You said what?
5,21,2,Robin, I thought about it.
5,21,2,Barney," You think about it? You hardly know him. In addition, the guy is a draw with a job that is worthless."
5,21,2,Robin," We have the same job, Barney."
5,21,2,Barney," And we could not be more proud of you, my angel."
5,21,2,Lily, It still seems fast.
5,21,2,Robin, You're probably right.
5,21,2,Ted, You should live with him.
5,21,2,Robin, Really?
5,21,2,Ted," Yeah, you're happy with him, and i adore you as a roommate, I want you to do what is right for you."
5,21,2,Robin, You wanna throw me out because of something with milk?
5,21,2,Ted, It's super boring.
5,21,2,Ted, Robin?!
5,21,3,Robin, No. I have a system. I put the empty brick in the fridge to remind us to buy milk.
5,21,3,Ted, Why not let the solid brick to remind us not to buy?
5,21,3,Barney," All right. As a former... before you embark on anything, I'm meeting this guy. I think it's pretty weird not having yet met."
5,21,3,Robin," Bluntly. It's as if someone was orchestrating things for this specific purpose. Okay, but you must promise to behave well."
5,21,3,Barney, I promise.
5,21,3,Barney," I'm doing this contortionist Portuguese, and I swear... it is so flexible, at a time, it was about me and beneath me. A top and a bottom! One and two! Which is empty?"
5,21,3,Don, It's good.
5,21,3,Robin, And it was Barney.
5,21,3,Don, It's not bad.
5,21,3,Ted," Actually, I'm not sure."
5,21,3,Don, I think it's great. But I pity any woman with self-esteem so low it would go out with him.
5,21,3,Ted (2030), Robin had never told Don she was out with Barney.
5,21,3,Barney," I appreciate you, Don. Both, we love a good scotch, one likes my stories compelling. And we went out with Robin."
5,21,3,Ted (2030)," There, he knew it."
5,21,3,Don, So Barney's your ex and you hang out with him? It makes me uncomfortable.
5,21,3,Robin," The'm not, it's as if we had never been together."
5,21,3,Barney," In short, the arms of the Erasmus student have dropped and there fell of my swing. Seriously, I have not found a girl who can do that from Robin."
5,21,3,Robin," How was your weekend, or any other topic?"
5,21,3,Lily, Atrocious.
5,21,3,Marshall, Terrible.
5,21,3,Lily, Twin beds? I can not sleep in separate beds. We should complain.
5,21,3,Marshall," Yeah, you're right, I'll ask for another room."
5,21,3,Lily," Yeah, I'll go with you in just a second......"
5,21,3,Voice, Maid!
5,21,3,Marshall, You can come back later? It takes a nap.
5,21,3,Voice, It's time to return the keys.
5,21,3,Marshall, We spent 18 hours.
5,21,3,Lily, We missed the full board.
5,21,3,Marshall, I lost 5 kg.
5,21,3,Don, It's not weird that Robin is still friends with Barney?
5,21,3,Ted, It's odd that we all still be friends with Barney.
5,21,3,Don, I do not know how to react to the fact that she hangs out with an ex.
5,21,3,Ted (2030), Robin had said nothing either to Don about another of his ex. Me.
5,21,3,Ted," Trainer with an ex okay, two at a pinch. Shit, two is even better. Because strawberry..."
5,21,3,Don, But if you had someone and he hung out with an ex...
5,21,3,Ted," Wait, sorry. ""It? """
5,21,3,Don, He was friends with his ex.
5,21,3,Ted," Wait, wait. You think I'm gay? Why you would assume that?"
5,21,3,Robin, Your teacher of calligraphy called...
5,21,3,Ted, And?
5,21,3,Robin, Your ink arrived.
5,21,3,Ted, Yes.
5,21,3,"Ted, leaving her room", I wanted to ensure that Project Runway is registering. The uniform changed to the Jets?
5,21,3,"Ted, an apron", I think there will be no creme brulee tonight. My torch to brown is broken.
5,21,3,Don," When I found out that your roommate is single, I was a little jealous, but now that I know he's gay, so good."
5,21,3,Robin, Ted is not...
5,21,3,Ted, But we still house boudoirs and hot dogs.
5,21,3,Don, Thank you. Ted is not it?
5,21,3,Robin, Ted will not be much there. It follows Cher's tour.
5,21,3,Ted," Think again, Cher made some great concerts. But I'm not gay."
5,21,3,Don," Lily, be honest. It's not weird that Robin train with an ex?"
5,21,3,Lily, Ted and Robin broke up there for years. This is not a problem.
5,21,3,Don, Ted? And Robin?
5,21,3,Ted," I'm so gay, eh, Donnie?"
5,21,3,Bartender, An apple martini for gentleman.
5,21,3,Ted, Thank you.
5,21,3,Don," You're also out with Ted? 4 people you consider your best friends, you've slept with 50% of them."
5,21,3,Robin, It's just my friends.
5,21,3,Don, But they are also your ex. And you live with one of them.I'm sorry. I have to think about all that.
5,21,4,"Lily, thinking", Her toenails are daggers.
5,21,4,"Lily, thinking"," Great! And now he falls asleep. Hello, river of slime."
5,21,4,"Marshall, thinking", My knee itches. I'll just scratch a little.
5,21,4,Lily, It should have separate beds.
5,21,4,Marshall," Yes, a mini fridge. And separate beds."
5,21,4,Lily, a deal!
5,21,4,Don, I came to apologize to you. I exaggerated.
5,21,4,Barney," Well, there you should also apologize. We said some pretty hurtful."
5,21,4,Don, Not at all.
5,21,4,Barney, That was after you to be part.
5,21,4,Robin, Sorry for not having told the truth from the beginning.
5,21,4,Don," I acts as a hysteric. It's not offensive, right?"
5,21,4,Ted, Still not gay.
5,21,4,Don," Sorry, I meant you're both important to Robin. How about dinner tomorrow night at home."
5,21,4,Ted, It's great.
5,21,4,Barney," I can not wait, buddy."
5,21,4,Robin, Thank you.
5,21,4,Don, You're welcome.
5,21,4,Robin," So long, guys."
5,21,4,Barney, I have to get Robin.
5,21,4,Ted, Are you kidding?
